[Data]
Comment,Time Stamp (sec),Status (code),Temperature (K),Magnetic Field (Oe),Sample Position (degrees),Bridge 1 Resistivity (Ohm-m),Bridge 1 Excitation (uA),Bridge 2 Resistivity (Ohm-m),Bridge 2 Excitation (uA),Bridge 3 Resistivity (Ohm-m),Bridge 3 Excitation (uA),Bridge 4 Resistivity (Ohm-m),Bridge 4 Excitation (uA),Bridge 1 Std. Dev. (Ohm-m),Bridge 2 Std. Dev. (Ohm-m),Bridge 3 Std. Dev. (Ohm-m),Bridge 4 Std. Dev. (Ohm-m),Number of Readings,Bridge 1 Resistance (Ohms),Bridge 2 Resistance (Ohms),Bridge 3 Resistance (Ohms),Bridge 4 Resistance (Ohms)
,24069109.6,,1.99993615150452,-27907.528515625,0,-3.28996781259775e-006,999.890258789063,1.04565406963229e-005,999.890258789063,9.63979819417e-005,999.890258789063,,,3.77090628593317e-008,3.3842556817596e-008,5.02233435737919e-007,,25,-0.00328996781259775,0.0104565406963229,0.0963979819417,
,24069128.304,,1.99995450973511,-26415.73578125,0,-3.27050419524312e-006,999.890258789063,1.04924813657999e-005,999.890258789063,9.62622728943825e-005,999.890258789063,,,3.84739930779096e-008,4.32857331762214e-008,5.18310938881084e-007,,25,-0.00327050419524312,0.0104924813657999,0.0962622728943825,
,24069146.697,,1.99996644020081,-24944.660390625,0,-3.21176650933921e-006,999.890258789063,1.0492791980505e-005,999.890258789063,9.63045334815979e-005,999.890258789063,,,4.42240949082236e-008,3.65955250251972e-008,6.47664670842074e-007,,25,-0.00321176650933921,0.010492791980505,0.0963045334815979,
,24069165.682,,2.00002359867096,-23403.702421875,0,-3.17370826378465e-006,999.890258789063,1.04993188381195e-005,999.890258789063,9.61876720190048e-005,999.890258789063,,,3.46408227555678e-008,2.7506092886289e-008,6.90413311017444e-007,,25,-0.00317370826378465,0.0104993188381195,0.0961876720190048,
,24069184.558,,1.99996343612671,-21919.9428125,0,-3.13296499662101e-006,999.890258789063,1.05083863064647e-005,999.890258789063,9.58464050292969e-005,999.890258789063,,,3.73371473772426e-008,2.35937951340633e-008,6.28956781083174e-007,,25,-0.00313296499662101,0.0105083863064647,0.0958464050292969,
,24069203.029,,1.99997152805328,-20445.51171875,0,-3.06968754157424e-006,999.890258789063,1.05047659575939e-005,999.890258789063,9.6017456650734e-005,999.890258789063,,,3.46742625357627e-008,2.97556008422424e-008,4.83385615280329e-007,,25,-0.00306968754157424,0.0105047659575939,0.096017456650734,
,24069221.421,,1.99996718883514,-18939.196875,0,-2.99527926370502e-006,999.890258789063,1.05100229009986e-005,999.890258789063,9.62073129415512e-005,999.890258789063,,,3.85198938921711e-008,2.98774017992614e-008,5.40342246849572e-007,,25,-0.00299527926370502,0.0105100229009986,0.0962073129415512,
,24069240.718,,1.99994349956512,-17416.250546875,0,-2.94298503547907e-006,999.890258789063,1.05184112116694e-005,999.890258789063,9.6104342341423e-005,999.890258789063,,,3.5733851043328e-008,3.46631056619994e-008,3.3404507616323e-007,,25,-0.00294298503547907,0.0105184112116694,0.096104342341423,
,24069260.343,,1.99996215343475,-15838.628671875,0,-2.86024341359735e-006,999.890258789063,1.05285431817174e-005,999.890258789063,9.61275941133499e-005,999.890258789063,,,2.76945581920376e-008,2.58361020141399e-008,3.66572319551707e-007,,25,-0.00286024341359735,0.0105285431817174,0.0961275941133499,
,24069279.282,,1.99989880561829,-14331.0939453125,0,-2.82459405250847e-006,999.890258789063,1.05275714769959e-005,999.890258789063,9.60937902331352e-005,999.890258789063,,,3.28377373961032e-008,2.38336774595613e-008,3.63674807263479e-007,,25,-0.00282459405250847,0.0105275714769959,0.0960937902331352,
